#	Genetic ID	Master ID	Skeletal code	Skeletal element	Year data from this individual was first published [for a present-day individuals we give the data of the data reported here; missing GreenScience 2010 (Vi33.15, Vi33.26), Olalde2018 (I2657), RasmussenNature2010 (Australian)]	Publication	Method for Determining Date; unless otherwise specified, calibrations use 95.4% intervals from OxCal v4.4.2 Bronk Ramsey (2009); r5; Atmospheric data from Reimer et al (2020)	Date mean in BP in years before 1950 CE [OxCal mu for a direct radiocarbon date, and average of range for a contextual date]	Date standard deviation in BP [OxCal sigma for a direct radiocarbon date, and standard deviation of the uniform distribution between the two bounds for a contextual date]	Full Date One of two formats. (Format 1) 95.4% CI calibrated radiocarbon age (Conventional Radiocarbon Age BP, Lab number) e.g. 2624-2350 calBCE (3990±40 BP, Ua-35016). (Format 2) Archaeological context range, e.g. 2500-1700 BCE	Age at Death from physical anthropology	Group ID	Locality	Political Entity	Lat.	Long.	Pulldown Strategy	Data source	No. Libraries	1240k coverage (taken from original pulldown where possible)	SNPs hit on autosomal targets (Computed using easystats on 1240k snpset)	SNPs hit on autosomal targets (Computed using easystats on HO snpset)	Molecular Sex	Family ID and position within family	Y haplogroup (manual curation in terminal mutation format)	Y haplogroup (manual curation in ISOGG format)	mtDNA coverage (merged data)	mtDNA haplogroup if >2x or published	mtDNA match to consensus if >2x (merged data)	Damage rate in first nucleotide on sequences overlapping 1240k targets (merged data)	Sex ratio [Y/(Y+X) counts] (merged data)	Library type (minus=no.damage.correction, half=damage.retained.at.last.position, plus=damage.fully.corrected, ds=double.stranded.library.preparation, ss=single.stranded.library.preparation)	Libraries	ASSESSMENT	"ASSESSMENT WARNINGS (Xcontam interval is listed if lower bound is >0.005, ""QUESTIONABLE"" if lower bound is 0.01-0.02, ""QUESTIONABLE_CRITICAL"" or ""FAIL"" if lower bound is >0.02) (mtcontam confidence interval is listed if coverage >2 and upper bound is <0."
13260	syr013	syr013	syr013	petrous	2022	SrigyanValdioseraCommBio2022	Direct:IntCal13(WARNING:Uncalibrateddatenotreported)	1235	29	665-766 calCE (1302±15calBP, wk-46475)	15-21 yrs.	Syria_TellQarassa_Umayyad	TellQarassa	Syria	36.8309	41.4611	NativePulldownon3.2Msnpset	Shotgun	2	..	1129441	583362	F	..	..	..	522.349	R0a2	..	..	..	ds	..	PASS	..
12584	I10967	I10967	114 (25787)	petrous (CBD)	2020	LipsonCurrentBiology2020	Direct: SHCal20	156	86	1671-1950 calCE (180±20 BP, PSUAMS-5494)	..	Vanuatu_200BP_oPolynesian	Efate, Mangaasi	Vanuatu	-17.611529000000001	168.241268	Repulldown on 3.2M snpset	1240K	1	0.675404	467170	258310	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	..	[0.95,0.972]	0.0815	0.008906	ds.half	S10967.Y1.E1.L1	PASS	mtcontam=[0.95,0.972]
4723	OTTM_165_d	OTTM_165	OTTM_165	tooth	2019	MittnikScience2019	Direct: IntCal20	3572	52	1736-1535 calBCE (3349±29 BP, MAMS-21561)	..	Germany_Lech_MBA_lc	Oberottmarshausen - Kiesgrube Lauter	Germany	48.22519	10.84977	Repulldown on 3.2M snpset	1240K.and.Shotgun	2	0.008795	984	518	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	H	..	..	..	half	OOH025.A0101, OOH025.A0102	QUESTIONABLE_CRITICAL	<2500.SNPs
6250	S_Bergamo-1.DG	HGDP01153	..	..	2016	MallickNature2016	Modern	0	0	present	..	Italian_North.DG	..	Italy	46	10	1240K pulldown padded to 3.2M snpset	Shotgun.diploid	1	68.6	1118868	584083	M	n/a (no relatives detected)	..	..	..	..	..	..	..	..	..	PASS	..
9888	RISE395_noUDG.SG	RISE395	kurgan 25 burial 12	tooth	2015	AllentoftNature2015	Direct: IntCal20	3815	60	2008-1750 calBCE (3540±33 BP, OxA-30996)	..	Russia_MLBA_Sintashta.SG	Bol'shekaraganskii	Russia	52.637	59.536	Repulldown on 3.2M snpset	Shotgun	1	2.397	856451	475422	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	U2e1h	..	..	..	ds.minus	RISE395	PASS	..
4176	HGDP00524.DG	HGDP00524	..	..	2020	BergstromScience2020	Modern	0	0	present	..	French.DG	..	France	46	2	1240K pulldown padded to 3.2M snpset	Shotgun.diploid	..	..	1137186	587214	F	n/a (no relatives detected)	n/a (female)	n/a (female)	..	..	..	..	..	..	..	PASS	..
6662	ETR004	ETR004	1458	Tooth	2021	PosthScienceAdvances2021	Context: Archaeological - Site/Context	1000	144	700-1200 CE	..	Italy_Tuscany_Siena_EarlyMedieval	Tuscany, Siena, Chiusi	Italy	43.017037	11.948444	Native Pulldown on 3.2M snpset	1240k	..	..	21780	11378	M	n/a (no relatives detected)	..	..	29.0471	HV	..	..	..	ds.half	..	PASS	..
12391	PS-03_noUDG.SG	PS-03	SDMM, 17750	Tooth	2018	ScheibScience2018	Direct: IntCal20	1456	45	416-575 calCE (1574±40 BP, UBA-31911)	..	USA_CA_Chumash.SG	Point Sal, CA	USA	34.901389	-120.648056	Repulldown on 3.2M snpset	Shotgun	..	0.094306	111798	58708	M	n/a (no relatives detected)	..	..	19	A2	..	0.063	..	ds.minus	..	PASS	..
3563	SED008.SG	SED008	..	..	2022	GretzingerNature2022	Context: Archaeological - Period	1200	202	400-1100 CE	..	England_Saxon.SG	England, Norfolk, Sedgeford	United Kingdom	52.9	0.5	1240K pulldown padded to 3.2M snpset	Shotgun	..	0.6213	580804	309985	F	n/a (no relatives detected)	n/a (female)	n/a (female)	117.290603	..	..	0.0909	..	ds.half	..	PASS	..
10019	I0233	I0233	SVP HB 13, Novosel'ki, kurgan 2, grave 4 (SVP13, Novosel’ki, kurgan 2, grave 4)	bone (long bone)	2019	NarasimhanPattersonScience2019	Context: Archaeological - Period	3475	188	1850-1200 BCE	..	Russia_Srubnaya_Scythian_Sarmatian_possible	Samara Oblast, Volga River Valley, Tatarstan oblast, forest-steppe zone, Novosel'ki	Russia	48.1	54.44	Repulldown on 3.2M snpset	1240K	1	0.03	34814	18648	M	n/a (no relatives detected)	..	..	37.8	U5a1i	[0.955,0.972]	0.049	0.402	ds.half	S0233.E1.L2	PASS	damage.ds.half=0.049, mtcontam=[0.955,0.972]
