Ancient pop	Sex	Age	Country	Lat	Long	A	B	C	D	E	F	G	H	I	J	K	L	M	N	P	R	T	U	V	W	X	Z	total
Croatia Medieval	F	1096	Croatia	43.530795	16.260044	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Croatia Medieval sister.I15744	F	1200	Croatia	43.530795	16.260044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1
Croatia N Cardial	M	7863	Croatia	43.589	16.648	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Croatia Popova MN.SG	M	6408	Croatia	45.74699999999999	18.57	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3
Croatia Popova RomanP.SG	M	1586	Croatia	45.747	18.57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
Cuba CanimarAbajo Archaic	F	1329	Cuba	23.038	-81.497	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cuba CanimarAbajo Archaic	M	905	Cuba	23.038	-81.497	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cuba CuevaPerico Archaic	F	1257	Cuba	22.958	-83.275	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cuba CuevaPerico Archaic	M	1345	Cuba	22.958	-83.275	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Cuba GuayaboBlanco Archaic	M	1657	Cuba	22.301	-80.924	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Curacao SantaCruz Ceramic	F	666	Curacao	12.3	-69.15	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Czech BellBeaker	F	4193	Czech Republic	50.191749	14.257211	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	4
Czech BellBeaker	M	4193	Czech Republic	50.214439	14.425045800000001	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	0	0	5
Czech BellBeaker brother.I4888	M	4071	Czech Republic	50.121747	14.456951	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Czech C Baalberge	F	5850	Czech Republic	50.145766	14.221421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
Czech C Baalberge	M	5850	Czech Republic	50.145766	14.221421	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Czech CordedWare	F	4576	Czech Republic	50.3877232	14.3201748	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	1	0	5
Czech CordedWare o1	F	4877	Czech Republic	50.612939	13.961205	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Czech EBA Unetice	F	3941	Czech Republic	50.163228272727274	14.82870481818182	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	4	1	1	0	0	11
Czech EBA Unetice	M	3846	Czech Republic	50.00233875	15.62466675	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	4
Czech EBA Unetice brother.I14585	M	3850	Czech Republic	50.054385	14.363387	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Czech EBA Unetice father.MIB015.father.MIB010.father.MIB030.father.MIB035.father.MIB018.father.MIB011	M	3774	Czech Republic	49.992004	15.776861	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
Czech EBA Unetice father.or.son.MIB083.1d.rel.MIB078	M	3887	Czech Republic	49.992004	15.776861	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1
Czech EBA Unetice mother.MIB034.MIB033	F	3840	Czech Republic	49.992004	15.776861	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Czech EBA Unetice sister.MIB015.sister.MIB010.sister.MIB030.sister.MIB035.sister.MIB018.daughter.MIB012	F	3761	Czech Republic	49.992004	15.776861	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Czech EBA Unetice sister.MIB071	F	3825	Czech Republic	49.992004	15.776861	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
Czech EBA Unetice sister.PDA002	F	4131	Czech Republic	50.151931	14.493838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
