Germany Anderten Saxon Medieval daughter.ADN001.sister.ADN005.ADN009	F								H2a2a1														
Germany Anderten Saxon Medieval father.ADN005.ADN003.ADN009	M								H56														
Germany BellBeaker	F								H5a1,H5a1,H1,H2a1e												W1c1		
Germany BellBeaker	M								H1e1a,HV9,HV														
Germany CordedWare	F										J1c1b1a												
Germany CordedWare o1.SG	F										J1b1a1												
Germany Drantum Saxon Medieval	F								H51,H1bd			K1a4a1a2b											
Germany Dunum Saxon Medieval dup.DUN001.A	M																		U2e2a1a				
Germany Dunum Saxon Medieval dup.DUN001.B	M																		U2e2a1a				
Germany EMedieval Alemanic SEurope	M																	T2					
Germany EN LBK	F								H2a2a1						N1a1a1a2,N1a1a1a			T2b					
Germany EN LBK	M																		U5a2d				
Germany EN LBK Stuttgart.DG	F																	T2c1d1					
Germany EN LBK lc	M																	T2b					
Germany EarlyMedieval.SG	M								H1	I1													
Germany EarlyMedieval o1.SG	F																	T1 					
Germany Hiddestorf Saxon EMedieval	M											K1a4a1e											
Germany Lech BellBeaker	F											K1a											
Germany Lech BellBeaker	M										J1c												
Germany Lech BellBeaker lc	F								H2a1														
Germany Lech BellBeaker possible.contam	F								H1														
Germany Lech EBA	F																			V7		X2b+226	
Germany Lech EBA	M											K2a5											
Germany Lech EBA contam	M											K2a5											
Germany Lech EBA o2 lc	F											K1a4a1							U4a				
Germany Lech EBA possible.contam	F								H2a1			K1a2a							U5b2a1a1				
Germany Lech EBA sister.AITI 77B lc	F									I1a1													
Germany Lech EBA sister.AITI 77B possible.contam	F									I1a1													
Germany Lech MBA	M								H3														
Germany Lech MBA lc	F								H														
Germany MN	M										J2b1a												
Germany MN Salzmuende	F								H3+152														
Germany Ofnet lc	F																		U5b1d1				
Germany Saxony LBK N	F											K2a			N1a1a1								
Germany Saxony LBK N	M								HV+16311														
Germany Saxony LBK N 1d.rel.DER018	F																					X2b	
Germany Schleswig Saxon LMedieval	M								H5a1c1a										U5a1b1				
Germany SouthernGermany Singen EBA	F								H5a1,H+16129														
Germany SouthernGermany Singen EBA	M								H76a														
Germany Tauber CordedWare lc	F											K1b2b 											
Germany Tauber CordedWare lc	M																		U5a1a1 				
Germany Tollense BA.SG	M																	T2b					
Greece Delphi BA Mycenaean	F																		U3b				
Greece Minoan Odigitria	F											K1a2											
Greece N.SG	F																					X2b	
Greenland EarlyNorse.SG	F																		U5b1e1				
Greenland LateNorse lc.SG	F									I2													
Guam LateLatte	F					E2a																	
Guam LateUnai	F		B4a1a1			E																	
Guam Latte	F					E2a,E2a,E2,E2a,E2a,E1a1b																	
Guam Latte	M					E2a,E2a,E2a																	
Guam Latte brother.I24529	M					E2a																	
Guam Latte mother.or.daughter.I24518.I24581	F					E2																	
Guam Latte sister.I24574	F					E2a																	
Guam PreLatte	F					E																	
Haiti Diale1 Ceramic	F				D1																		
Hungary Avar 5	F																					X2m'n	
Hungary BA.SG	M										J1b												
Hungary C Balaton Lasinja	F																	T2					
Hungary C Balaton Lasinja	M								H40														
Hungary Conqueror Commoner	F								H5		J2b1c								U4				
Hungary Conqueror Commoner	M								H1u2			K1a3						T2b					
Hungary Conqueror Elite	F								H1c														
Hungary Conqueror Elite	M	A13		C4a1a3	D4e4						J1b1a1+146	K1a							U5a2b2a,U3b1b				
Hungary DanubeTisza EAvar	M				D4j5a		F1b1b																
Hungary DanubeTisza LAvar	M			C4a1a4																			
Hungary DanubeTisza LSarmation EHun	F			C5c+16234																			
Hungary DanubeTisza MAvar	F								HV2a3														
Hungary EBA BellBeaker	M																			V3			
Hungary EBA Protonagyrev	M								H1b1														
Hungary EIA	M								H4a1a+195														
Hungary EN Koros o	F											K											
Hungary EN Starcevo 1	M														N1a1a1								
Hungary EarlyArpadian	F								H13a2b2a,H10e										U5a1a2				
Hungary EarlyAvar	F											K1c2											
Hungary EarlyAvar	M								H52		J1c10	K1c2							U3b1b				
Hungary EarlyAvar Elite	F														N								
Hungary EarlyC Tiszapolgar	M																	T2c1+146					
Hungary EarlyC Tiszapolgar Bodrogkeresztur	M								H1														
Hungary IA LaTene o	M																	T2b					
Hungary IA LaTene oEast	M																		U5a1b				
Hungary IA LaTene oWest	F																		U8b1b2				
Hungary IA Scythian.SG	F								H2a2														
Hungary LBA	M								H79														
Hungary LN Tisza	M											K1b1+(16093)											
Hungary Langobard	M																		U4b1b				
Hungary Langobard.SG	M											K2a3a						T1a1					
Hungary LateAvar	F							G2a2										T1a5,T1a1	U5a2b2a			X2k	Z1a
Hungary LateAvar	M	A+152+16362							H1au										U2e1b1,U5a1g				
Hungary LateC Baden	M											K1a											
Hungary LateC EBA Baden Yamnaya	M								H+16129														
Hungary LateC Protoboleraz	F														N1a1a3								
Hungary MBA Vatya.SG	F								H2a1										U5a2a				
Hungary MN ALPc Bukk	F																					X2b+226	
Hungary MN ALPc Szakalhat	F										J1c1												
Hungary MN LBK lc	F								H														
Hungary MN Vinca	F																		U2+152				
Hungary Maros EBA.SG	F											K1a2a											
Hungary MidAvar	M								H2a1f								R0a1a						
Hungary MidAvar oEastAsiaHigh	F											K1b1a1+199											
Hungary NorthHungaryMountains LAvar	M										J1c3												
Hungary Starcevo EN	M								H46														
Hungary Transtisza EAvar	M				D5b1																		
Hungary Transtisza LSarmation EHun oEast	F								H1m														
Iceland Early Christian.SG	M								HV17a 														
Iceland Pre Christian.SG	M									I2								T2b2b 					
